economy,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
MDV,SE.SEC.ENRR.MA,48.0587310791016,57.2683296203613,55.5765991210938,62.6957511901855,61.8930816650391,,,,,,62.3441062089312,64.0801474410472,66.0028305701577,62.2609826119929,67.0629167874746,67.3404510556622,63.0565018207447,62.4127322210389,71.1921691894531,67.7075576782227,63.6374922408442,,68.6861554394389,74.5007611713083,
MDV,SE.TER.ENRR,,,,0.21356999874115,,,,10.3270502090454,11.3926296234131,,,,,,13.6843761236965,,,33.3294981245829,,24.6480059688561,27.0805812417437,23.794640430505,48.4968654322788,,
MDV,SE.TER.ENRR.FE,,,,0.306950002908707,,,,13.5900201797485,13.4752798080444,,,,,,20.9319401299068,,,57.2404518127441,,39.8286090969018,45.7099384466422,40.5823133193308,79.9435223432219,,
MDV,SE.TER.ENRR.MA,,,,0.125239998102188,,,,7.50065994262695,9.73019981384277,,,,,,8.89477809712217,,,18.8449192047119,,15.9179650479548,16.2650070267015,13.7112280854396,28.539180171592,,
MEA,SE.PRM.ENRR,81.6360168457031,82.1723785400391,85.4851226806641,87.835578918457,89.8461380004883,90.0650177001953,89.3588027954102,90.2111282348633,90.2114562988281,90.0345687866211,90.8270492553711,89.3950119018555,90.349983215332,89.1839981079102,89.1339874267578,88.7086563110352,90.1161422729492,89.8634033203125,91.0566864013672,91.8066787719727,92.2091598510742,92.2614364624023,91.5154037475586,93.5525512695312,94.6325531005859
MEA,SE.PRM.ENRR.FE,73.5991897583008,74.3718872070312,77.538459777832,80.482048034668,81.4969024658203,83.1373977661133,83.0524291992188,84.4511184692383,84.7155609130859,84.7839202880859,85.6047973632812,84.3953704833984,85.7546997070312,84.7892837524414,84.6228103637695,84.2598876953125,85.6565399169922,85.4988632202148,86.2686767578125,87.5190124511719,87.9372711181641,87.9751434326172,87.1746826171875,90.009162902832,91.98681640625
MEA,SE.PRM.ENRR.MA,89.230110168457,89.5363616943359,92.9815902709961,94.7650680541992,97.7056579589844,96.5839691162109,95.2919387817383,95.6294784545898,95.3851165771484,94.9835968017578,95.7525634765625,94.1135025024414,94.6921768188477,93.3411865234375,93.4069671630859,92.9269332885742,94.3462219238281,94.006706237793,95.6059265136719,95.885856628418,96.2761535644531,96.3441390991211,95.6547088623047,96.9326019287109,97.1574401855469
MEA,SE.SEC.ENRR,50.2143783569336,50.4005889892578,50.4098815917969,50.7011184692383,51.7388687133789,51.4207801818848,53.4668083190918,53.3521614074707,53.9880104064941,54.9664688110352,55.212589263916,56.6907615661621,57.1146392822266,55.8841400146484,56.3870697021484,57.3701782226562,58.2178192138672,58.3111190795898,59.3685111999512,60.1695289611816,60.7267608642578,61.3739013671875,62.4220314025879,64.1539916992188,65.7879486083984
MEA,SE.SEC.ENRR.FE,46.2440986633301,46.6951484680176,47.1025695800781,47.8145904541016,48.8658218383789,48.9622802734375,50.9403991699219,50.944751739502,51.2119216918945,52.2615699768066,52.1970100402832,53.5247993469238,53.5537109375,52.0718307495117,53.0181198120117,53.8907585144043,54.9065208435059,55.0110015869141,56.3839988708496,57.3141708374023,57.9312705993652,58.5643081665039,59.6928901672363,61.6829414367676,63.667781829834
MEA,SE.SEC.ENRR.MA,53.9787406921387,53.9108581542969,53.5396499633789,53.4285697937012,54.4437103271484,53.7279281616211,55.8316192626953,55.6021614074707,56.5848083496094,57.4981384277344,58.0367393493652,59.6579399108887,60.4610214233398,59.4739685058594,59.5642013549805,60.6552085876465,61.3469200134277,61.4325103759766,62.1939811706543,62.8768005371094,63.3805999755859,64.0418395996094,65.0177536010742,66.5078277587891,67.8092803955078
MEA,SE.TER.ENRR,13.556619644165,13.9357404708862,14.1848001480103,14.3840999603272,15.3665399551392,16.4484596252441,17.0407199859619,18.2272891998291,19.4375705718994,20.1668605804443,21.461669921875,21.9487991333008,23.6090698242188,24.6868095397949,26.2296390533447,27.3493404388428,27.0987300872803,27.2971000671387,27.1299304962158,27.9685897827148,28.3051891326904,28.3076190948486,28.0563106536865,28.7123298645019,29.6833095550537
MEA,SE.TER.ENRR.FE,12.7742900848389,13.3735504150391,13.8648300170898,14.4425601959228,15.3806295394897,16.6329402923584,17.4537601470947,18.5128192901611,20.3561496734619,20.8137607574463,21.9949893951416,22.6371307373047,24.2461700439453,25.056209564209,26.5790405273438,27.3423900604248,27.3845596313477,27.428840637207,27.5954303741455,28.7565402984619,29.1186408996582,29.0271797180176,29.0203094482422,29.4885005950928,30.5883903503418
MEA,SE.TER.ENRR.MA,14.275110244751,14.4536504745483,14.4804000854492,14.3299198150635,15.3534898757935,16.2777595520019,16.6590900421143,17.9637699127197,18.5901699066162,19.5717601776123,20.9709892272949,21.3151702880859,23.0214500427246,24.3455009460449,25.9064102172852,27.355770111084,26.8332004547119,27.1741409301758,26.6941795349121,27.2290000915527,27.5415992736816,27.6304607391357,27.1471099853516,27.9783897399902,28.8247108459473
MEX,SE.PRM.ENRR,109.118301391602,109.028007507324,109.220031738281,109.264152526855,108.834548950195,108.534042358398,108.129272460938,108.726860046387,109.446380615234,110.722198486328,110.995216369629,111.058860778809,111.073516845703,110.109268188477,108.573143005371,106.963432312012,106.391220092773,105.797607421875,105.188163757324,105.095039367676,104.517730712891,103.358810424805,102.004783630371,101.420753479004,
MEX,SE.PRM.ENRR.FE,107.822311401367,107.941589355469,108.262351989746,108.363471984863,107.988586425781,107.58846282959,107.136100769043,107.784126281738,108.5234375,109.854042053223,110.223320007324,110.343360900879,110.465309143066,109.525497436523,108.065948486328,106.55207824707,106.081642150879,105.642036437988,105.052146911621,105.078788757324,104.506576538086,103.379371643066,102.090393066406,101.552032470703,
